siRNA,mRNA,efficacy
Huesken_A216,NM_003337,0.775
Huesken_A217,NM_003337,0.751
Huesken_A218,NM_003337,0.714
Huesken_A219,NM_003337,0.712
Huesken_A220,NM_003337,0.51
Huesken_A221,NM_003337,0.759
Huesken_A222,NM_003337,0.687
Huesken_A223,NM_003337,0.499
Huesken_A224,NM_003337,0.727
Huesken_A225,NM_003337,0.743
Huesken_A226,NM_003337,0.815
Huesken_A227,NM_003337,0.531
Huesken_A228,NM_003337,0.624
Huesken_A229,NM_003337,0.608
Huesken_A230,NM_003337,0.505
Huesken_A231,NM_003337,0.847
Huesken_A232,NM_003337,0.839
Huesken_A233,NM_003337,0.836
Huesken_A234,NM_003337,0.744
Huesken_A235,NM_003337,0.841
Huesken_A236,NM_003337,0.648
Huesken_A237,NM_003337,0.863
Huesken_A238,NM_003337,0.722
Huesken_A239,NM_003337,0.5
Huesken_A240,NM_003337,0.772
Huesken_A241,NM_003337,0.479
Huesken_A242,NM_003337,0.467
Huesken_A243,NM_003337,0.635
Huesken_A244,NM_003337,0.694
Huesken_A245,NM_003337,0.757
Huesken_A246,NM_003337,0.626
Huesken_A247,NM_003337,0.73
Huesken_A248,NM_003337,0.46
Huesken_A249,NM_003337,0.635
Huesken_A250,NM_003337,0.846
Huesken_A251,NM_003337,0.482
Huesken_A252,NM_003337,0.697
Huesken_A253,NM_003337,0.618
Huesken_A254,NM_003337,0.777
Huesken_A255,NM_003337,0.801
Huesken_A256,NM_003337,0.825
Huesken_A257,NM_003337,0.853
Huesken_A258,NM_003337,0.637
Huesken_A259,NM_003337,0.723
Huesken_A260,NM_003337,0.475
Huesken_A261,NM_003337,0.467
Huesken_A262,NM_003337,0.862
Huesken_A263,NM_003337,0.781
Huesken_A264,NM_003337,0.798
Huesken_A265,NM_003337,0.79
Huesken_A266,NM_003337,0.817
Huesken_A267,NM_003337,0.532
Huesken_A268,NM_003337,0.846
Huesken_A269,NM_003337,0.835
Huesken_A270,NM_003337,0.55
Huesken_A271,NM_003337,0.564
Huesken_A272,NM_003337,0.483
Huesken_A273,NM_003337,0.508
Huesken_A274,NM_003337,0.742
Huesken_A275,NM_003337,0.728
Huesken_A276,NM_003337,0.618
Huesken_A277,NM_003337,0.767
Huesken_A278,NM_003337,0.611
Huesken_A279,NM_003337,0.455
Huesken_A280,NM_003337,0.782
Huesken_A281,NM_003337,0.851
Huesken_A282,NM_003969,0.581
Huesken_A283,NM_003969,0.543
Huesken_A284,NM_003969,0.677
Huesken_A285,NM_003969,0.612
Huesken_A286,NM_003969,0.766
Huesken_A287,NM_003969,0.612
Huesken_A288,NM_003969,0.676
Huesken_A289,NM_003969,0.641
Huesken_A290,NM_003969,0.699
Huesken_A291,NM_003969,0.671
Huesken_A292,NM_003969,0.664
Huesken_A293,NM_003969,0.654
Huesken_A294,NM_003969,0.659
Huesken_A295,NM_003969,0.686
Huesken_A296,NM_003969,0.631
Huesken_A297,NM_003969,0.628
Huesken_A298,NM_003969,0.645
Huesken_A299,NM_003969,0.613
Huesken_A300,NM_003969,0.561
Huesken_A301,NM_003969,0.697
Huesken_A302,NM_003969,0.771
Huesken_A303,NM_003969,0.802
Huesken_A304,NM_003969,0.67
Huesken_A305,NM_003969,0.497
Huesken_A306,NM_003969,0.822
Huesken_A307,NM_003969,0.767
Huesken_A308,NM_003969,0.606
Huesken_A309,NM_003969,0.685
Huesken_A310,NM_003969,0.541
Huesken_A311,NM_003969,0.804
Huesken_A312,NM_003969,0.795
Huesken_A313,NM_003969,0.625
Huesken_A314,NM_003969,0.654
Huesken_A315,NM_003969,0.797
Huesken_A316,NM_003969,0.713
Huesken_A317,NM_003969,0.861
Huesken_A318,NM_003969,0.618
Huesken_A319,NM_003969,0.921
Huesken_A320,NM_003969,0.817
Huesken_A321,NM_003969,0.738
Huesken_A322,NM_003969,0.793
Huesken_A323,NM_003969,0.564
Huesken_A324,NM_003969,0.699
Huesken_A325,NM_003969,0.539
Huesken_A326,NM_003969,0.511
Huesken_A327,NM_003969,0.851
Huesken_A328,NM_003969,0.873
Huesken_A329,NM_003969,0.689
Huesken_A330,NM_003969,0.759
Huesken_A331,NM_003969,0.827
Huesken_A332,NM_003969,0.779
Huesken_A333,NM_003969,0.803
Huesken_A334,NM_003969,0.575
Huesken_A335,NM_003969,0.589
Huesken_A336,NM_003969,0.767
Huesken_A337,NM_003969,0.77
Huesken_A338,NM_003969,0.656
Huesken_A339,NM_003969,0.793
Huesken_A340,NM_003969,0.605
Huesken_A341,NM_003969,0.703
Huesken_A342,NM_003969,0.718
Huesken_A343,NM_003969,0.719
Huesken_A344,NM_003969,0.66
Huesken_A345,NM_003969,0.564
Huesken_A346,NM_003969,0.717
Huesken_A347,NM_003969,0.699
Huesken_A348,NM_003969,0.517
Huesken_A349,NM_003969,0.53
Huesken_A350,NM_003969,0.61
Huesken_A351,NM_003969,0.589
Huesken_A352,NM_003969,0.649
Huesken_A353,NM_003969,0.736
Huesken_A354,NM_003969,0.53
Huesken_A355,NM_003969,0.599
Huesken_A356,NM_003969,0.417
Huesken_A357,NM_003969,0.594
Huesken_A358,XM_371822,0.857
Huesken_A359,XM_371822,0.591
Huesken_A360,XM_371822,0.538
Huesken_A361,XM_371822,0.43
Huesken_A362,XM_371822,0.363
Huesken_A363,XM_371822,0.433
Huesken_A364,XM_371822,0.295
Huesken_A365,XM_371822,0.618
Huesken_A366,XM_371822,0.82
Huesken_A367,XM_371822,0.754
Huesken_A368,XM_371822,0.817
Huesken_A369,XM_371822,0.55
Huesken_A370,XM_371822,0.683
Huesken_A371,XM_371822,0.667
Huesken_A372,XM_371822,0.797
Huesken_A373,XM_371822,0.579
Huesken_A374,XM_371822,0.532
Huesken_A375,XM_371822,0.65
Huesken_A376,XM_371822,0.652
Huesken_A377,XM_371822,0.75
Huesken_A378,XM_371822,0.824
Huesken_A379,XM_371822,0.759
Huesken_A380,XM_371822,0.609
Huesken_A381,XM_371822,0.724
Huesken_A382,XM_371822,0.568
Huesken_A383,XM_371822,0.729
Huesken_A384,XM_371822,0.49
Huesken_A385,XM_371822,0.719
Huesken_A386,XM_371822,0.711
Huesken_A387,XM_371822,0.627
Huesken_A388,XM_371822,0.836
Huesken_A389,XM_371822,0.991
Huesken_A390,XM_371822,0.651
Huesken_A391,XM_371822,0.561
Huesken_A392,XM_371822,0.792
Huesken_A393,XM_371822,0.595
Huesken_A394,XM_371822,0.774
Huesken_A395,XM_371822,0.702
Huesken_A396,XM_371822,0.68
Huesken_A397,XM_371822,0.558
Huesken_A398,XM_371822,0.653
Huesken_A399,XM_371822,0.627
Huesken_A400,XM_371822,1.0
Huesken_A401,XM_371822,0.845
Huesken_A402,XM_371822,0.723
Huesken_A403,XM_371822,0.742
Huesken_A404,XM_371822,0.772
Huesken_A405,XM_371822,0.422
Huesken_A406,XM_371822,0.801
Huesken_A407,XM_371822,0.574
Huesken_A408,XM_371822,0.494
Huesken_A409,XM_371822,0.564
Huesken_A410,XM_371822,0.779
Huesken_A411,XM_371822,0.916
Huesken_A412,XM_371822,0.758
Huesken_A413,XM_371822,0.707
Huesken_A414,XM_371822,0.617
Huesken_A415,XM_371822,0.787
Huesken_A416,XM_371822,0.793
Huesken_A417,XM_371822,0.768
Huesken_A418,XM_371822,0.654
Huesken_A419,XM_371822,0.711
Huesken_A420,XM_371822,0.758
Huesken_A421,XM_371822,0.819
Huesken_A422,XM_371822,0.758
Huesken_A423,XM_371822,0.699
Huesken_A424,XM_371822,0.868
Huesken_A425,XM_371822,0.893
Huesken_A426,XM_371822,0.247
Huesken_A427,XM_371822,0.895
Huesken_A428,XM_371822,0.986
Huesken_A429,XM_371822,0.695
Huesken_A430,XM_371822,0.886
Huesken_A431,XM_371822,0.99
Huesken_A432,XM_371822,0.564
Huesken_A433,XM_371822,0.732
Huesken_A434,XM_371822,0.617
Huesken_A435,XM_371822,0.127
Huesken_A436,XM_371822,0.397
Huesken_A437,XM_371822,0.53
Huesken_A438,XM_371822,0.52
Huesken_A439,XM_371822,0.462
Huesken_A440,XM_371822,0.402
Huesken_A441,XM_371822,0.505
Huesken_A442,XM_371822,0.738
Huesken_A443,XM_371822,0.513
Huesken_A444,XM_371822,0.67
Huesken_A445,XM_371822,0.0
Huesken_A446,XM_371822,0.397
Huesken_A447,XM_371822,0.494
Huesken_A448,XM_371822,0.463
Huesken_A449,XM_371822,0.576
Huesken_A450,XM_371822,0.564
Huesken_A451,XM_371822,0.73
Huesken_A452,XM_371822,0.589
Huesken_A453,XM_371822,0.602
Huesken_A454,XM_371822,0.723
Huesken_A455,XM_371822,0.595
Huesken_A456,XM_371822,0.357
Huesken_A457,XM_371822,0.218
Huesken_A458,XM_371822,0.468
Huesken_A459,XM_371822,0.731
Huesken_A460,XM_371822,0.721
Huesken_A461,XM_371822,0.749
Huesken_A462,XM_371822,0.272
Huesken_A463,XM_371822,0.367
Huesken_A464,XM_371822,0.727
Huesken_A465,XM_371822,0.615
Huesken_A466,XM_371822,0.659
Huesken_A467,XM_371822,0.68
Huesken_A468,XM_371822,0.483
Huesken_A469,XM_371822,0.585
Huesken_A470,XM_371822,0.687
Huesken_A471,XM_371822,0.677
Huesken_A472,XM_371822,0.743
Huesken_A473,XM_371822,0.584
Huesken_A474,XM_371822,0.492
Huesken_A475,XM_371822,0.604
Huesken_A476,XM_371822,0.661
Huesken_A477,XM_371822,0.293
Huesken_A478,XM_371822,0.292
Huesken_A479,XM_371822,0.259
Huesken_A480,XM_371822,0.668
Huesken_A481,XM_371822,0.521
Huesken_A482,XM_371822,0.725
Huesken_A483,XM_371822,0.395
Huesken_A484,XM_371822,0.693
Huesken_A485,XM_371822,0.72
Huesken_A486,XM_371822,0.584
Huesken_A487,XM_371822,0.396
Huesken_A488,XM_371822,0.702
Huesken_A489,XM_371822,0.278
Huesken_A490,XM_371822,0.873
Huesken_A491,XM_371822,0.739
Huesken_A492,XM_371822,0.639
Huesken_A493,XM_371822,0.774
Huesken_A494,XM_371822,0.758
Huesken_A495,XM_371822,0.344
Huesken_A496,XM_371822,0.342
Huesken_A497,XM_371822,0.438
Huesken_A498,XM_371822,0.605
Huesken_A499,XM_371822,0.535
Huesken_A500,XM_371822,0.651
Huesken_A501,XM_371822,0.709
Huesken_A502,XM_371822,0.844
Huesken_A503,NM_015213,0.221
Huesken_A504,NM_015213,0.637
Huesken_A505,NM_015213,0.663
Huesken_A506,NM_015213,0.607
Huesken_A507,NM_015213,0.787
Huesken_A508,NM_015213,0.426
Huesken_A509,NM_015213,0.719
Huesken_A510,NM_015213,0.882
Huesken_A511,NM_015213,0.419
Huesken_A512,NM_015213,0.705
Huesken_A513,NM_015213,0.547
Huesken_A514,NM_015213,0.768
Huesken_A515,NM_015213,0.474
Huesken_A516,NM_015213,0.444
Huesken_A517,NM_015213,0.606
Huesken_A518,NM_015213,0.419
Huesken_A519,NM_015213,0.611
Huesken_A520,NM_015213,0.777
Huesken_A521,NM_015213,0.409
Huesken_A522,NM_015213,0.807
Huesken_A523,NM_015213,0.737
Huesken_A524,NM_015213,0.705
Huesken_A525,NM_015213,0.459
Huesken_A526,NM_015213,0.547
Huesken_A527,NM_015213,0.49
Huesken_A528,NM_015213,0.978
Huesken_A529,NM_015213,0.753
Huesken_A530,NM_015213,0.719
Huesken_A531,NM_015213,0.532
Huesken_A532,NM_015213,0.679
Huesken_A533,NM_015213,0.492
Huesken_A534,NM_015213,0.518
Huesken_A535,NM_015213,0.447
Huesken_A536,NM_015213,0.371
Huesken_A537,NM_015213,0.584
Huesken_A538,NM_015213,0.564
Huesken_A539,NM_015213,0.447
Huesken_A540,NM_015213,0.374
Huesken_A541,NM_015213,0.669
Huesken_A542,NM_015213,0.506
Huesken_A543,NM_015213,0.717
Huesken_A544,NM_015213,0.702
Huesken_A545,NM_015213,0.523
Huesken_A546,NM_015213,0.288
Huesken_A547,NM_015213,0.632
Huesken_A548,NM_015213,0.39
Huesken_A549,NM_015213,0.621
Huesken_A550,NM_015213,0.608
Huesken_A551,NM_015213,0.683
Huesken_A552,NM_015213,0.722
Huesken_A553,NM_015213,0.725
Huesken_A554,NM_015213,0.576
Huesken_A555,NM_015213,0.751
Huesken_A556,NM_015213,0.579
Huesken_A557,NM_015213,0.908
Huesken_A558,NM_015213,0.837
Huesken_A559,NM_015213,0.464
Huesken_A560,NM_015213,0.73
Huesken_A561,NM_015213,0.625
Huesken_A562,NM_015213,0.402
Huesken_A563,NM_015213,0.497
Huesken_A564,NM_015213,0.709
Huesken_A565,NM_015213,0.605
Huesken_A566,NM_015213,0.618
Huesken_A567,NM_015213,0.63
Huesken_A568,NM_015213,0.744
Huesken_A569,NM_015213,0.666
Huesken_A570,NM_015213,0.544
Huesken_A571,NM_015213,0.695
Huesken_A572,NM_015213,0.578
Huesken_A573,NM_015213,0.527
Huesken_A574,NM_015213,0.631
Huesken_A575,NM_015213,0.467
Huesken_A576,NM_015213,0.644
Huesken_A577,NM_015213,0.291
Huesken_A578,NM_015213,0.67
Huesken_A579,NM_015213,0.625
Huesken_A580,NM_015213,0.441
Huesken_A581,NM_015213,0.658
Huesken_A582,NM_015213,0.471
Huesken_A583,NM_015213,0.485
Huesken_A584,NM_015213,0.693
Huesken_A585,NM_015213,0.345
Huesken_A586,NM_015213,0.514
Huesken_A587,NM_015213,0.479
Huesken_A588,NM_015213,0.557
Huesken_A589,NM_015213,0.646
Huesken_A590,NM_015213,0.46
Huesken_A591,NM_015213,0.449
Huesken_A592,NM_015213,0.385
Huesken_A593,NM_015213,0.424
Huesken_A594,NM_015213,0.747
Huesken_A595,NM_015213,0.752
Huesken_A596,NM_015213,0.662
Huesken_A597,NM_015213,0.649
Huesken_A598,NM_015213,0.608
Huesken_A599,NM_015213,0.598
Huesken_A600,NM_015213,0.654
Huesken_A601,NM_015213,0.508
Huesken_A602,NM_015213,0.436
Huesken_A603,NM_015213,0.453
Huesken_A604,NM_015213,0.536
Huesken_A605,NM_015213,0.5
Huesken_A606,NM_015213,0.549
Huesken_A607,NM_015213,0.679
Huesken_A608,NM_015213,0.487
Huesken_A609,NM_015213,0.677
Huesken_A610,NM_015213,0.513
Huesken_A611,NM_015213,0.537
Huesken_A612,NM_015213,0.667
Huesken_A613,NM_015213,0.249
Huesken_A614,NM_015213,0.742
Huesken_A615,NM_015213,0.499
Huesken_A616,NM_015213,0.805
Huesken_A617,NM_015213,0.829
Huesken_A618,NM_015213,0.696
Huesken_A619,NM_015213,0.683
Huesken_A620,NM_015213,0.563
Huesken_A621,NM_015213,0.686
Huesken_A622,NM_015213,0.734
Huesken_A623,NM_015213,0.559
Huesken_A624,NM_015213,0.574
Huesken_A625,NM_015213,0.758
Huesken_A626,NM_015213,0.547
Huesken_A627,NM_015213,0.541
Huesken_A628,NM_015213,0.604
Huesken_A629,NM_003347,0.639
Huesken_A630,NM_003347,1.0
Huesken_A631,NM_003347,0.701
Huesken_A632,NM_003347,0.613
Huesken_A633,NM_003347,0.49
Huesken_A634,NM_003347,0.623
Huesken_A635,NM_003347,0.6
Huesken_A636,NM_003347,0.376
Huesken_A637,NM_003347,0.517
Huesken_A638,NM_003347,0.463
Huesken_A639,NM_003347,0.371
Huesken_A640,NM_003347,0.809
Huesken_A641,NM_003347,0.775
Huesken_A642,NM_003347,0.771
Huesken_A643,NM_003347,0.614
Huesken_A644,NM_003347,0.873
Huesken_A645,NM_003347,0.666
Huesken_A646,NM_003347,0.562
Huesken_A647,NM_003347,0.846
Huesken_A648,NM_003347,0.87
Huesken_A649,NM_003347,0.6
Huesken_A650,NM_003347,0.417
Huesken_A651,NM_003347,0.73
Huesken_A652,NM_003347,0.718
Huesken_A653,NM_003347,0.828
Huesken_A654,NM_003347,0.517
Huesken_A655,NM_003347,0.525
Huesken_A656,NM_003347,0.91
Huesken_A657,NM_003347,0.743
Huesken_A658,NM_003347,0.527
Huesken_A659,NM_003347,0.32
Huesken_A660,NM_003347,0.645
Huesken_A661,NM_003347,0.594
Huesken_A662,NM_003347,0.57
Huesken_A663,NM_003347,0.731
Huesken_A664,NM_003347,0.828
Huesken_A665,NM_003347,0.501
Huesken_A666,NM_003347,0.655
Huesken_A667,NM_003347,0.834
Huesken_A668,NM_003347,0.659
Huesken_A669,NM_003347,0.718
Huesken_A670,NM_003347,0.9
Huesken_A671,NM_003347,1.0
Huesken_A672,NM_003347,0.812
Huesken_A673,NM_003347,0.697
Huesken_A674,NM_003347,0.794
Huesken_A675,NM_003347,0.619
Huesken_A676,NM_003347,0.587
Huesken_A677,NM_003347,0.753
Huesken_A678,NM_003347,0.462
Huesken_A679,NM_003347,0.967
Huesken_A680,NM_003347,1.0
Huesken_A681,NM_003347,0.614
Huesken_A682,NM_003344,0.719
Huesken_A683,NM_003344,0.772
Huesken_A684,NM_003344,0.65
Huesken_A685,NM_003344,0.747
Huesken_A686,NM_003344,0.985
Huesken_A687,NM_003344,0.919
Huesken_A688,NM_003344,0.668
Huesken_A689,NM_003344,0.719
Huesken_A690,NM_003344,0.776
Huesken_A691,NM_003344,0.705
Huesken_A692,NM_003344,0.786
Huesken_A693,NM_003344,0.931
Huesken_A694,NM_003344,0.951
Huesken_A695,NM_003344,0.777
Huesken_A696,NM_003344,1.0
Huesken_A697,NM_003344,0.864
Huesken_A698,NM_003344,0.825
Huesken_A699,NM_003344,0.957
Huesken_A700,NM_003344,0.614
Huesken_A701,NM_003344,0.553
Huesken_A702,NM_003344,0.91
Huesken_A703,NM_003344,0.866
Huesken_A704,NM_003344,0.494
Huesken_A705,NM_003344,0.669
Huesken_A706,NM_003344,0.502
Huesken_A707,NM_003344,0.362
Huesken_A708,NM_003344,0.666
Huesken_A709,NM_003344,0.482
Huesken_A710,NM_003344,0.416
Huesken_A711,NM_003344,0.842
Huesken_A712,NM_003344,0.486
Huesken_A713,NM_003344,0.783
Huesken_A714,NM_003344,0.684
Huesken_A715,NM_003344,1.0
Huesken_A716,NM_003344,0.958
Huesken_A717,NM_003344,0.81
Huesken_A718,NM_003344,0.86
Huesken_A719,NM_003344,0.465
Huesken_A720,NM_003344,1.0
Huesken_A721,NM_003344,0.984
Huesken_A722,NM_003344,1.0
Huesken_A723,NM_003344,0.999
Huesken_A724,NM_003344,0.64
Huesken_A725,NM_003344,1.0
Huesken_A726,NM_003344,0.679
Huesken_A727,NM_003344,0.953
Huesken_A728,NM_003344,0.964
Huesken_A729,NM_003344,0.992
Huesken_A730,NM_003344,1.0
Huesken_A731,NM_003344,0.779
Huesken_A732,NM_003344,1.0
Huesken_A733,NM_003344,0.642
Huesken_A734,NM_003344,0.5
Huesken_A735,NM_003344,0.836
Huesken_A736,NM_003344,1.0
Huesken_A737,NM_003344,0.678
Huesken_A738,NM_003344,0.995
Huesken_A739,NM_003344,0.34
Huesken_A740,NM_003344,0.917
Huesken_A741,NM_003344,0.638
Huesken_A742,NM_003344,0.955
Huesken_A743,NM_003344,0.756
Huesken_A744,NM_003344,0.967
Huesken_A745,NM_003344,0.841
Huesken_A746,NM_003344,0.573
Huesken_A747,NM_003344,0.777
Huesken_A748,NM_003344,0.98
Huesken_A749,NM_003344,0.711
Huesken_A750,NM_003344,0.702
Huesken_A751,NM_003344,0.715
Huesken_A752,NM_003345,0.929
Huesken_A753,NM_003345,0.678
Huesken_A754,NM_003345,0.838
Huesken_A755,NM_003345,0.895
Huesken_A756,NM_003345,0.758
Huesken_A757,NM_003345,0.839
Huesken_A758,NM_003345,0.489
Huesken_A759,NM_003345,0.888
Huesken_A760,NM_003345,0.521
Huesken_A761,NM_003345,0.719
Huesken_A762,NM_003345,0.904
Huesken_A763,NM_003345,0.744
Huesken_A764,NM_003345,0.874
Huesken_A765,NM_003345,0.601
Huesken_A766,NM_003345,0.56
Huesken_A767,NM_003345,0.859
Huesken_A768,NM_003345,0.705
Huesken_A769,NM_003345,0.76
Huesken_A770,NM_003345,0.801
Huesken_A771,NM_003345,0.592
Huesken_A772,NM_003345,0.478
Huesken_A773,NM_003345,0.511
Huesken_A774,NM_003345,0.596
Huesken_A775,NM_003345,0.451
Huesken_A776,NM_003345,0.496
Huesken_A777,NM_003345,0.789
Huesken_A778,NM_003345,0.883
Huesken_A779,NM_003345,0.591
